player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Clean sheets,All Competitions - Saved penalties,Goalkeeping - Goals prevented,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - High claims,Distribution - Chances created,Distribution - xA,Goalkeeping - Goals prevented (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - High claims (per90),Distribution - Chances created (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Fouls committed,Defending - Recoveries,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Headed shots,Possession - Dribbles,Possession - Dribbles success rate,Defending - Blocked scoring attempt,Defending - Penalties conceded,Defending - Possession won final 3rd,Defending - Dribbled past,Shooting - Headed shots (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Defending - Blocked scoring attempt (per90),Defending - Penalties conceded (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1338907,Alec Smir,Minnesota United,207242,https://www.fotmob.com/players/1338907/alec-smir,Keeper,GK,keepers,185 cm,1,27,USA,,$57.4k,50000.0,€50k,2026-12-31,MLS,Western,Major League Soccer,2025,3.0,6.24,2,160,1,0,2,100.0,0,1,0,2,28,87.5,4,50.0,0,0,0,1,8.29,1,1,0/0,1.5,100.0,0.0,0.75,0.0,1.5,21.0,87.5,3.0,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57350.0
1136263,Drake Callender,Minnesota United,207242,https://www.fotmob.com/players/1136263/drake-callender,Keeper,GK,keepers,188 cm,12,28,USA,Right,$549.5k,479039.0,€479k,2026-12-31,MLS,Western,Major League Soccer,2026,22.0,7.02,15,1350,0,0,46,67.6,22,4,0,6,196,58.7,81,37.2,0,0,22,4,7.02,15,15,0/4,3.07,67.65,1.47,0.27,0.0,0.4,13.07,58.68,5.4,37.16,0.0,0.0,4.0,0/4,2.77,0,4,0.0,4,2,0.23,0.18,0.0,0.27,0.0,0.27,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549457.73
1440054,Devin Padelford,Minnesota United,207242,https://www.fotmob.com/players/1440054/devin-padelford,Left Back,LB,defenders,183 cm,2,23,USA,Left,$280.8k,244802.0,€244.8k,,MLS,Western,Major League Soccer,2026,,6.41,12,491,0,0,,,,,,,,,,,0,0,,,6.41,12,4,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,4.0,0,0.60,0.72,0.60,3,2,1,0.83,165,85.5,4,30.8,2,1,2,33.3,41,74.5,23,92.0,310,8,1,6,34,12,2,6,22,20,0,12,9.54,0,1,491,0.0,0.11,0.13,0.11,0.55,0.37,0.18,0.15,30.24,85.49,0.73,30.77,0.37,0.18,0.37,33.33,7.52,74.55,4.22,92.0,56.82,1.47,0.18,1.1,6.23,2.2,0.37,1.1,4.03,3.67,0.0,2.2,1.75,,,,,,,,,,,,,,,,,,,280787.89
771494,Kyle Duncan,Minnesota United,207242,https://www.fotmob.com/players/771494/kyle-duncan,Right Back,RB,defenders,178 cm,3,28,Jamaica,Right,$533.7k,465338.0,€465.3k,,MLS,Western,Major League Soccer,2026,,6.93,12,829,2,0,,,,,,,,,,,2,0,,,6.93,12,10,,,,,,,,,,,,0.22,0.0,,,,,,,,,,,,,,,,,1.0,0.0,10.0,1,1.05,1.17,1.05,5,2,0,0.74,267,87.3,4,50.0,9,1,6,40.0,50,52.1,9,60.0,542,13,12,15,45,14,9,16,50,20,2,12,12.89,1,0,829,0.11,0.11,0.13,0.11,0.54,0.22,0.0,0.08,28.99,87.25,0.43,50.0,0.98,0.11,0.65,40.0,5.43,52.08,0.98,60.0,58.84,1.41,1.3,1.63,4.89,1.52,0.98,1.74,5.43,2.17,0.22,1.3,1.4,1,12,52.2,2,1,7,2,0.11,1.3,52.17,0.22,0.11,0.76,0.22,,,,,533742.69
1230353,Nicolás Romero,Minnesota United,207242,https://www.fotmob.com/players/1230353/nicol-s-romero,Center Back,CB,defenders,186 cm,5,22,Argentina,Left,$2.7m,2319314.0,€2.3m,2027-12-31,MLS,Western,Major League Soccer,2026,,7.08,9,644,2,0,,,,,,,,,,,2,0,,,7.08,9,8,,,,,,,,,,,,0.28,0.0,,,,,,,,,,,,,,,,,0.0,0.0,8.0,0,0.21,0.55,0.21,4,1,0,0.27,264,86.8,21,58.3,3,,,,26,63.4,10,76.9,424,3,1,7,51,6,10,7,38,25,1,8,9.00,0,0,644,0.0,0.03,0.08,0.03,0.56,0.14,0.0,0.04,36.89,86.84,2.93,58.33,0.42,,,,3.63,63.41,1.4,76.92,59.25,0.42,0.14,0.98,7.13,0.84,1.4,0.98,5.31,3.49,0.14,1.12,1.26,2,3,100.0,10,,3,4,0.28,0.42,100.0,1.4,,0.42,0.56,,,,,2660253.16
1339585,Anthony Markanich,Minnesota United,207242,https://www.fotmob.com/players/1339585/anthony-markanich,Left Wing-Back,LWB,defenders,185 cm,13,26,Philippines,Left,$2.1m,1800000.0,€1.8m,,MLS,Western,Major League Soccer,2026,,7.4,15,1193,2,0,,,,,,,,,,,2,0,,,7.40,15,14,,,,,,,,,,,,0.15,0.0,,,,,,,,,,,,,,,,,4.0,1.0,14.0,4,2.22,3.39,2.22,18,7,1,1.66,325,71.1,11,29.7,17,3,3,21.4,88,58.3,41,64.1,711,62,9,18,81,31,19,15,62,28,3,16,15.79,4,1,1193,0.3,0.17,0.26,0.17,1.36,0.53,0.08,0.12,24.52,71.12,0.83,29.73,1.28,0.23,0.23,21.43,6.64,58.28,3.09,64.06,53.64,4.68,0.68,1.36,6.11,2.34,1.43,1.13,4.68,2.11,0.23,1.21,1.19,6,2,50.0,3,,5,16,0.45,0.15,50.0,0.23,,0.38,1.21,2,0.15,,,2064600.0
128949,Michael Boxall,Minnesota United,207242,https://www.fotmob.com/players/128949/michael-boxall,Center Back,CB,defenders,188 cm,15,37,New Zealand,Right,$118.5k,103344.0,€103.3k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.42,7,397,0,0,,,,,,,,,,,0,0,,,6.42,7,5,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0,,,,0,,0,0.08,139,92.1,1,20.0,,,1,100.0,13,48.1,6,40.0,225,1,0,3,32,3,3,5,9,20,0,6,5.26,0,0,397,0.0,,,,0.0,,0.0,0.02,31.51,92.05,0.23,20.0,,,0.23,100.0,2.95,48.15,1.36,40.0,51.01,0.23,0.0,0.68,7.25,0.68,0.68,1.13,2.04,4.53,0.0,1.36,1.19,,1,100.0,6,1,,,,0.23,100.0,1.36,0.23,,,,,,,118535.57
1631396,Morris Duggan,Minnesota United,207242,https://www.fotmob.com/players/1631396/morris-duggan,Center Back,CB,defenders,193 cm,23,25,Germany,Left,$549.4k,479007.0,€479k,,MLS,Western,Major League Soccer,2026,,7.03,15,1350,4,0,,,,,,,,,,,4,0,,,7.03,15,15,,,,,,,,,,,,0.27,0.0,,,,,,,,,,,,,,,,,1.0,0.0,15.0,1,1.56,1.55,1.56,10,5,0,0.29,621,88.2,26,40.6,3,,2,66.7,52,45.2,29,52.7,963,25,10,4,153,14,22,16,75,111,4,22,20.34,1,0,1350,0.07,0.1,0.1,0.1,0.67,0.33,0.0,0.02,41.4,88.21,1.73,40.62,0.2,,0.13,66.67,3.47,45.22,1.93,52.73,64.2,1.67,0.67,0.27,10.2,0.93,1.47,1.07,5.0,7.4,0.27,1.47,1.36,7,5,83.3,6,,2,11,0.47,0.33,83.33,0.4,,0.13,0.73,,,,,549421.03
825625,Julian Gressel,Minnesota United,207242,https://www.fotmob.com/players/825625/julian-gressel,Right Wing-Back,RWB,defenders,185 cm,24,32,USA,Right,$807.5k,704012.0,€704k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.24,3,50,1,0,,,,,,,,,,,1,0,,,6.24,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807501.76
944942,D.J. Taylor,Minnesota United,207242,https://www.fotmob.com/players/944942/d-j-taylor,Right Wing-Back,RWB,defenders,173 cm,27,28,USA,,,,,,MLS,Western,Major League Soccer,2026,,6.43,4,116,1,0,,,,,,,,,,,1,0,,,6.43,4,1,,,,,,,,,,,,0.78,0.0,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0,,,,0,,0,0.36,45,83.3,3,50.0,2,,1,50.0,6,42.9,2,50.0,77,2,0,,12,4,1,5,3,6,0,3,2.51,0,0,116,0.0,,,,0.0,,0.0,0.28,34.91,83.33,2.33,50.0,1.55,,0.78,50.0,4.66,42.86,1.55,50.0,59.74,1.55,0.0,,9.31,3.1,0.78,3.88,2.33,4.66,0.0,2.33,1.95,,,,1,1,,1,,,,0.78,0.78,,0.78,,,,,
