team_id,team_name,short_name,group,played,wins,draws,losses,points,position
915807,Nashville SC,Nashville SC,Eastern,14,10,3,1,33,1
960720,Inter Miami CF,Inter Miami CF,Eastern,15,9,4,2,31,2
6397,Chicago Fire FC,Chicago,Eastern,14,8,2,4,26,3
6580,New England Revolution,New England,Eastern,14,8,1,5,25,4
6514,Red Bull New York,NY Red Bulls,Eastern,15,6,4,5,22,5
1323940,Charlotte FC,Charlotte FC,Eastern,15,6,3,6,21,6
722265,FC Cincinnati,Cincinnati,Eastern,15,5,5,5,20,7
546238,New York City FC,NYCFC,Eastern,15,5,4,6,19,8
6602,DC United,DC United,Eastern,15,4,6,5,18,9
6001,Columbus Crew,Columbus,Eastern,15,4,4,7,16,10
161195,CF Montreal,Montreal,Eastern,14,4,2,8,14,11
267810,Orlando City,Orlando,Eastern,15,4,2,9,14,12
56453,Toronto FC,Toronto,Eastern,14,3,5,6,14,13
773958,Atlanta United,Atlanta United,Eastern,14,3,2,9,11,14
191716,Philadelphia Union,Philadelphia,Eastern,15,1,4,10,7,15
307691,Vancouver Whitecaps,Vancouver,Western,14,10,2,2,32,1
6603,San Jose Earthquakes,San Jose,Western,15,10,2,3,32,2
6606,Real Salt Lake,Salt Lake,Western,14,8,2,4,26,3
6399,FC Dallas,Dallas,Western,15,7,4,4,25,4
867280,Los Angeles FC,LAFC,Western,15,7,3,5,24,5
130394,Seattle Sounders FC,Seattle Sounders,Western,13,7,3,3,24,6
8259,Houston Dynamo FC,Houston,Western,14,7,1,6,22,7
207242,Minnesota United,Minnesota,Western,15,6,4,5,22,8
6637,LA Galaxy,LA Galaxy,Western,15,5,5,5,20,9
1701119,San Diego FC,San Diego FC,Western,15,4,5,6,17,10
8314,Colorado Rapids,Colorado,Western,15,5,1,9,16,11
1427963,St. Louis City,St. Louis City,Western,14,4,4,6,16,12
307690,Portland Timbers,Portland,Western,14,4,2,8,14,13
1218886,Austin FC,Austin FC,Western,15,3,5,7,14,14
6604,Sporting Kansas City,Sporting KC,Western,14,3,2,9,11,15
